,Id,Retweets#,Favorites#,Mentions#,SenderId,SenderAccountYears,SenderFavorites#,SenderFollowings#,SenderFollowers#,SenderStatues#,Words#,TWords#,UWords#,SlangWords#,AvgWordLength,IsCyberbullying_encode
3590,1161269719078449152,0.0,0,1,966617652796981248,1,1153,271,0.0,502,11,2,0,0,6.0,0
3591,1161273488625360896,0.0,0,2,1005755590382112768,1,1224,58,0.0,1116,20,4,0,2,3.0,1
3592,1161277281253437440,0.0,0,1,1036951358568640512,1,162,80,0.0,90,3,1,0,1,4.0,1
3593,1161281055325925376,0.0,0,1,1018553236754608128,1,855,344,0.0,458,6,1,0,1,7.0,1
3594,1161311233087332352,0.0,0,0,990491128167370752,1,1139,170,0.0,5019,6,1,0,1,5.0,1
3595,1161344579679002624,1.0,3,1,1010601251116109824,1,10524,224,1.0,1042,8,1,0,1,6.0,1
3596,1161367884842590208,0.0,0,0,1073585955997663232,1,2022,70,0.0,415,3,1,0,1,5.0,1
3597,1161382978196520960,0.0,0,1,1005050192914190336,1,7742,140,0.0,2539,2,0,0,2,4.0,1
3598,1161427924303654912,2.0,36,0,1035624954706972672,1,12504,954,2.0,937,9,1,0,1,5.0,1
3599,1161435835654377472,0.0,0,1,981697928468336640,1,3934,614,0.0,728,10,1,0,2,6.0,1
3602,1161458264372125696,0.0,0,0,1018157148331798528,1,405,99,0.0,121,15,6,5,1,5.0,1
3603,1161465888836673536,0.0,0,2,959742745014390784,1,105,56,0.0,6,12,1,0,0,3.0,1
3604,1161469777887531008,0.0,0,1,1024494063024791552,1,907,62,0.0,147,4,1,1,0,3.0,1
3605,1161484873577746432,0.0,0,0,1035974666421260288,1,262,151,0.0,435,8,8,8,1,5.0,1
3607,1161518830155370496,0.0,0,1,1017678918093082624,1,2068,1232,0.0,1959,3,1,0,1,4.0,1
3608,1161537743496912896,0.0,0,0,982374494886092800,1,879,289,0.0,223,9,0,0,1,5.0,0
3609,1161549075960991744,0.0,0,0,1059611764634148864,1,12546,704,0.0,1405,6,1,0,1,5.0,0
3612,1161745400275046400,2.0,7,0,945326240076128256,1,3044,26,2.0,484,7,2,0,1,6.0,1
3613,1161758093291728896,5.0,42,0,1060257052960919552,1,44165,1548,5.0,1939,15,1,0,1,6.0,1
3614,1161770520188260352,7.0,55,0,1037770603200241664,1,2,50,7.0,538,31,6,1,1,5.0,0
3615,1161871068325470208,15.0,121,0,962368934509936640,1,174,43,15.0,559,17,3,0,1,7.0,0
3616,1161907666031190016,0.0,0,0,1040007448441090048,1,729,40,0.0,136,3,1,0,2,5.0,1
3617,1161915218148110336,0.0,0,0,1039860591140265984,1,7649,170,0.0,829,7,1,0,1,5.0,1
3618,1161937883902742528,0.0,0,2,960936377750900736,1,5183,113,0.0,1715,8,1,0,2,8.0,1
